label	norm	preferred_surface	count_hint_sum	n_sources	source_files	variants
GPE	ukkattha	Ukkattha	11	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Ukkattha
GPE	uruvelā	Uruvelā	11	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Uruvelā
GPE	veluvagamaka	Veluvagamaka	11	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Veluvagamaka
GPE	isipatana	Isipatana	10	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Isipatana
GPE	nadika	Nadika	10	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Nadika
GPE	pipphalivana	Pipphalivana	10	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Pipphalivana
GPE	bhoganagara	Bhoganagara	9	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Bhoganagara
GPE	ekanala	Ekanala	9	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Ekanala
GPE	gaya	Gaya	9	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Gaya
GPE	kashmir	Kashmir	9	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Kashmir
GPE	macchikasanda	Macchikasanda	9	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Macchikasanda
GPE	saavatthii	Saavatthii	9	4	graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt; graph/entities/TEXT/missing_ner.txt	Saavatthii; saavatthii
GPE	avanti	Avanti	8	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Avanti
GPE	bhandagama	Bhandagama	8	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Bhandagama
GPE	haliddavasana	Haliddavasana	8	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Haliddavasana
GPE	kalinga	Kalinga	8	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kalinga
GPE	kallavalaputta	Kallavalaputta	8	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Kallavalaputta
GPE	mahisavatthu	Mahisavatthu	8	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Mahisavatthu
GPE	saavatthi	Saavatthi	8	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Saavatthi
GPE	salavatika	Salavatika	8	6	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Salavatika
GPE	ambalatthika	Ambalatthika	7	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/add_to_GPE.txt; graph/entities/TEXT/gold_gpe_counts.txt	Ambalatthika
GPE	atanata	Atanata	7	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Atanata
GPE	jantu village	Jantu Village	7	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Jantu Village
GPE	kusinarā	Kusinarā	7	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Kusinarā
GPE	payaga	Payaga	7	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Payaga
GPE	pāṭali village	Pāṭali Village	7	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Pāṭali Village
GPE	raajagaha	Raajagaha	7	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Raajagaha
GPE	sāvatthi	Sāvatthi	7	3	graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_w_count.txt	Sāvatthi
GPE	yama	Yama	7	1	graph/entities/TEXT/gpe_w_count.txt	Yama
GPE	isigili mountain	Isigili mountain	6	1	graph/entities/TEXT/gpe_w_count.txt	Isigili mountain
GPE	kapilavattu	Kapilavattu	6	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/add_to_GPE.txt; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Kapilavattu
GPE	thuna	Thuna	6	3	graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Thuna
GPE	ajjheya	Ajjheya	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Ajjheya
GPE	allakappa	Allakappa	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/add_to_GPE.txt; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Allakappa
GPE	andhakavinda	Andhakavinda	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Andhakavinda
GPE	avantī	Avantī	5	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Avantī
GPE	calika	Calika	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Calika
GPE	dhavajalika	Dhavajalika	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/add_to_GPE.txt; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Dhavajalika
GPE	gandharapura	Gandharapura	5	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Gandharapura
GPE	hatthigama	Hatthigama	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Hatthigama
GPE	icchānaṅgalaka	Icchānaṅgalaka	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Icchānaṅgalaka
GPE	kakkarapatta	Kakkarapatta	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Kakkarapatta
GPE	kalasigama	Kalasigama	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Kalasigama
GPE	kapilavasthu	Kapilavasthu	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Kapilavasthu
GPE	kimila	Kimila	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Kimila
GPE	kingdom of alakamanda	Kingdom of Alakamanda	5	3	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt	Kingdom of Alakamanda
GPE	kosambii	Kosambii	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Kosambii
GPE	kotigama	Kotigama	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Kotigama
GPE	kuru	Kuru	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Kuru
GPE	kuṇḍiya	Kuṇḍiya	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Kuṇḍiya
GPE	madhura	Madhura	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Madhura
GPE	parileyyaka	Parileyyaka	5	3	graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Parileyyaka
GPE	pāvā	Pāvā	5	3	graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt; graph/entities/TEXT/gpe_w_count.txt	Pāvā
GPE	sahajati	Sahajati	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Sahajati
GPE	sanjatiya	Sanjatiya	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Sanjatiya
GPE	simbali	Simbali	5	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Simbali
GPE	supparaka	Supparaka	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Supparaka
GPE	ukkacela	Ukkacela	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Ukkacela
GPE	upavattana	Upavattana	5	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Upavattana
GPE	visana	Visana	5	5	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Visana
GPE	anupiya	Anupiya	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Anupiya
GPE	anupiyā	Anupiyā	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gpe_counts.txt; graph/entities/TEXT/gpe_found_ not_in_gold.txt	Anupiyā
GPE	assapura	Assapura	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Assapura
GPE	assatara	Assatara	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Assatara
GPE	bhesakala	Bhesakala	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Bhesakala
GPE	bārāṇasī	Bārāṇasī	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Bārāṇasī
GPE	devadaha	Devadaha	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Devadaha
GPE	gandhara	Gandhara	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Gandhara
GPE	giribbaja	Giribbaja	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Giribbaja
GPE	jambudipa	Jambudipa	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Jambudipa
GPE	kambala	Kambala	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Kambala
GPE	kamboja	Kamboja	4	4	graph/entities/JSONL/all_nodes.jsonl; graph/entities/JSONL/gpe.json; graph/entities/TEXT/gold_gpe_counts.txt; graph/entities/TEXT/gpe_counts.txt	Kamboja
GPE	licchavin	Licchavin	4	1	graph/entities/TEXT/gpe_w_count.txt	Licchavin
