span	freq	ascii_variant	contexts
Teaching	46	Teaching	In this Teaching [24] the bhikkhu, reflecting properly, | In this Teaching, the bhikkhu wears the robes reflecting | In this Teaching, the bhikkhu, reflecting properly, can
After	45	After	[8] After death this I will be constant, permanen | , what does one feel (of its result)?" "After doing an intentional kamma, friend Pota | nswered the wanderer Potaliputta thus: 'After doing an intentional kamma by way of bo
Comy	45	Comy	too, monks, if the mind is defiled..." Comy: "It may be asked why the Buddha had gi | According to the Comy., the sixteen defilements are finally ab | non-returning; and this is according to Comy.
Good	44	Good	Ananda, "Good, good, Ananda. | at this true Dhamma." Nutriment Saying "Good, friend," having delighted in and appro | ed at this true Dhamma." Stress Saying "Good, friend," having delighted in and appro
The Blessed One	44	The Blessed One	uiesce to my offer of tomorrow's meal." The Blessed One acquiesced with silence. | ve confidence in the Blessed One thus: 'The Blessed One is capable of teaching me the Dhamma in | "But a person of integrity notices, 'The Blessed One has spoken of non-fashioning [2] even w
All	41	All	I am of the view, of the opinion, that 'All is not pleasing to me.'" "But even this | even this view of yours, Aggivessana — 'All is not pleasing to me' — is even that n | are of the view, of the opinion, that 'All is pleasing to me.' There are some brah
Here	41	Here	"Here it signifies joy and the knowledge conn | * [Here the noun forms are given, while the ori | mentary suggests a plausible scenario: "Here the monk...
Rajagaha	40	Rajagaha	One was living on Isigili mountain near Rajagaha . | casion the Blessed One was staying near Rajagaha in the Bamboo Grove, the Squirrels' San | Are you skilled in the way leading to Rajagaha?" "Yes, sir, skilled am I in the way le
That's	40	That's	low that 'My self arises & falls away.' That's why it wouldn't be tenable if anyone we | low that 'My self arises & falls away.' That's why it wouldn't be tenable if anyone we | low that 'My self arises & falls away.' That's why it wouldn't be tenable if anyone we
Canon	39	Canon	o similes, among the most famous in the Canon: the simile of the water-snake and the | easily misapprehended teachings in the Canon largely because it is possible to draw | Following the Thai edition of the Canon.
Dhanañjanin	38	Dhananjanin	the Tandulapala Gate is a brahman named Dhanañjanin. | hat he is strong & free from illness?" "Dhanañjanin the brahman is also strong & free from | & free from illness." "And I trust that Dhanañjanin the brahman is heedful?" "From where wo
Niganthas	38	Niganthas	s on to make the point that, unlike the Niganthas — who were content to leave someone wit | r to that." "Then right here, lord, the Niganthas are destroyed." "But prince, why do you | do you say, 'Then right here, lord, the Niganthas are destroyed'?" "Just yesterday, lord,
Anathapindika	36	Anathapindika	staying at Savatthi , in Jeta's Grove, Anathapindika 's monastery. | And on that occasion Anathapindika the householder was diseased, in pain, | ith your head in my name and say 'Lord, Anathapindika the householder is diseased, in pain, s
Come	35	Come	there, Nigantha Nataputta said to him, "Come, now, prince. | ntemplative — so mighty, so powerful?" "Come now, prince. | he said to me...'Come now, prince.
Commentary	35	Commentary	misapprehension of the Dhamma, but the Commentary suggests a plausible scenario: "Here th | According to the Commentary, "indulge in sensual pleasures" here me | According to the Commentary, "this" here refers to the five aggrega
Is	35	Is	re-Killers and on arrival said to him, "Is it true, friend Arittha, that this pern | ng there, the Blessed One said to him, "Is it true, Arittha, that this pernicious | teaching." "What do you think, monks — Is form constant or inconstant?" "Inconsta
Teacher	35	Teacher	e point by point in the presence of the Teacher, and that the Teacher seconds that prai | e presence of the Teacher, and that the Teacher seconds that praise. | lking with the disciple who is like the Teacher himself without knowing that it is Ven.
Abandoning	34	Abandoning	"Abandoning the taking of what is not given, he abs | "Abandoning uncelibacy, he lives a celibate life, a | "Abandoning false speech, he abstains from false sp
Rahula	34	Rahula	Rahula, "Rahula, do you see this little bit of left-ove | Rahula, "Rahula, do you see how this little bit of left | ver water is tossed away?" "Yes, sir." "Rahula, whatever there is of a contemplative i
Ratthapala	34	Ratthapala	Now at that time a clansman named Ratthapala, the son of the leading clan in that sa | "Do you have your parents' permission, Ratthapala, to go forth from the household life in | homelessness?" "No, lord, I haven't." "Ratthapala, Tathagatas do not give the going-forth
Why	34	Why	would invade the mind and remain." [3] "Why wouldn't it have, Aggivessana? | ives rise to the pernicious viewpoint, 'Why did the Blessed One — binding the ocean | (tathagata) [11] is dependent on this.' Why is that?
Arittha	33	Arittha	The blessed One said: " Arittha , [2] monks, was a paccekabuddha who li | "Arittha, Uparittha, Tagarasikhi, Yasassi, Sudas | doesn't explain how the offending monk, Arittha, formulated his misapprehension of the
We	33	We	destinations, in the heavenly world." "We don't understand the detailed meaning o | viction is most helpful for visiting." "We have asked Master Gotama about safeguar | "We used to think, 'Who are these bald-head
Assalayana	32	Assalayana	nd on that occasion the brahman student Assalayana was staying at Savatthi. | to the brahmans, "This brahman student Assalayana is staying in Savatthi... | he brahmans went to the brahman student Assalayana and said to him, "Master Assalayana, th
Or	32	Or	'belonging to my self'?" "Yes, lord." "Or, monks, where there is what belongs to | artwood, his purpose won't be served.' "Or, brahman, it's as if a man in need of h | artwood, his purpose won't be served.' "Or, brahman, it's as if a man in need of h
Sāti	32	Sati	This sutta concerns a monk — Sāti, the Fisherman's Son — who refuses to h | monks try, unsuccessfully, to dissuade Sāti from his view, after which they report | The Buddha calls Sāti into his presence, and after ascertaini
Anathapindika's	31	Anathapindika's	staying in Savatthi , at Jeta's Grove, Anathapindika's park . | staying near Savatthi in Jeta's Grove, Anathapindika's monastery. | staying at Savatthi , in Jeta's Grove, Anathapindika's monastery.
Only	31	Only	is pleasing to me," and to state that "Only this is true, all else is worthless," I | not pleasing to me," and to state that "Only this is true, all else is worthless," I | not pleasing to me," and to state that "Only this is true, all else is worthless," I
Even	30	Even	t to focus on how the Dhamma is taught: Even in his most thoroughgoing teachings abo | self, nor do they belong to our self." "Even so, monks, whatever isn't yours: Let go | hower of the way, good Gotama, am I." " Even so, brahman, nibbana does exist, the wa
Noble Ones	27	Noble Ones	emains in the third jhana, of which the Noble Ones declare, 'Equanimous & mindful, he has | emains in the third jhana, of which the Noble Ones declare, 'Equanimous & mindful, he has | emains in the third jhana, of which the Noble Ones declare, 'Equanimous & mindful, he has
Saccaka	27	Saccaka	Blessed One, "Venerable sir, here comes Saccaka the Nigantha: a debater, a sophist, wel | Then the Blessed One said to Saccaka, "The ones you described just now as de | ll speak." "As you say, Master Gotama," Saccaka responded.
Such	27	Such	one, there is no more of this to come.' Such a monk is called 'one bathed with the i | es in the non-returner in the thought: 'Such and such defilements are now abandoned | suffering & stress will be exhausted.' Such is the teaching of the Niganthas.
Birth	26	Birth	edge: 'It is liberated'; and he knows: 'Birth is exhausted, the life of purity has be | And he had direct knowledge thus: "Birth is exhausted, the pure life has been li | nowledge, 'Released.' I discerned that 'Birth is ended, the holy life fulfilled, the
Buddhist	26	Buddhist	d yet nowhere else is it mentioned as a Buddhist teaching in the discourses. | (Sn 4) , however, mentions various non-Buddhist sectarians who spoke of purity as the g | d in this discourse were originally non-Buddhist teachings that were adopted by the earl
Nigaṇṭha-son	26	Nigantha-son	And on that occasion Saccaka the Nigaṇṭha-son was dwelling in Vesālī — a debater, a s | Saccaka the Nigaṇṭha-son, walking & wandering around Vesālī to e | So Saccaka the Nigaṇṭha-son went to those Licchavis and, on arrival
Pali	26	Pali	would appear that the reason why in the Pali stanzas attributes are mentioned in res | rammatical construction of the original Pali passage — though rather awkward in Engl | g to Comy., the word veda occurs in the Pali texts with three connotations: 1.
Friends	25	Friends	Maha Kaccana!" [He replied:] "Friends, it's as if a man needing heartwood, lo | Maha Kaccana said this: "Friends, concerning the brief statement the Ble | Sariputta said: "Friends, just as the footprints of all legged a
King Pasenadi Kosala	25	King Pasenadi Kosala	Suppose that while King Pasenadi Kosala was staying at Savatthi, some urgent bu | Answering in what way, my friend, would King Pasenadi Kosala answer them correctly?" "Answering in t | Despite his position, King Pasenadi Kosala must still act the role of messenger fo
Again	24	Again	(2) "Again, the Tathagata understands as it actual | (3) "Again, the Tathagata understands as it actual | (4) "Again, the Tathagata understands as it actual
Because	23	Because	ne of self as the view "I have a self." Because the act of clinging involves what the B | "Because there actually is the next world, the v | "Because there actually is the next world, the v
Evil One	23	Evil One	vision and has become invisible to the Evil One. | vision and has become invisible to the Evil One. | vision and has become invisible to the Evil One.
Angulimala	22	Angulimala	senadi's realm there was a bandit named Angulimala: brutal, bloody-handed, devoted to kill | & bowl, he went along the road to where Angulimala was staying. | s saw him going along the road to where Angulimala was staying, and on seeing him said to
Equanimous	22	Equanimous	hana, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.' | hana, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.' | hāna, of which the noble ones declare, 'Equanimous & mindful, he has a pleasant abiding.'
Stressful	22	Stressful	h is inconstant easeful or stressful?" "Stressful, lord." "And is it fitting to regard wh | h is inconstant easeful or stressful?" "Stressful, lord." "And is it fitting to regard wh | h is inconstant easeful or stressful?" "Stressful, lord." "And is it fitting to regard wh
Any	21	Any	This is not what I am.' "Any feeling whatsoever... | "Any perception whatsoever... | "Any fabrications whatsoever...
Kali	21	Kali	.' Now, Lady Vedehika had a slave named Kali who was diligent, deft, & neat in her w | The thought occurred to Kali the slave: 'This good report about my L | Then Lady Vedehika said to her: 'Hey, Kali!' "'Yes, madam?' "'Why did you get up a
Let	21	Let	Therefore, monks, whatever isn't yours: Let go of it. | Form (body) isn't yours: Let go of it. | Consciousness isn't yours: Let go of it.
Licchavis	21	Licchavis	that occasion Sunakkhatta , son of the Licchavis , had recently left this Dhamma and Dis | Then he heard Sunakkhatta, son of the Licchavis, making this statement before the Vesal | nt." Now on that occasion, five hundred Licchavis had gathered at a meeting hall on some
Mara's	21	Mara's	Aparajita, conqueror of Mara's might. | perceptions in lives to come: both are Mara's realm , Mara's domain, Mara's bait, Mar | lives to come: both are Mara's realm , Mara's domain, Mara's bait, Mara's range.
Well	21	Well	avering confidence in the Dhamma thus: 'Well proclaimed by the Blessed One is the Dh | eloped in body and developed in mind." "Well, Aggivessana, you are certainly being r | — nibbana, but some do not attain it?" "Well then, brahman, I will question you on t
Would	21	Would	ever I like?' What do you think, monks: Would the man, in doing that, be doing what s | rotting snare, an insubstantial snare.' Would the person speaking that way be speakin | an unrotting snare, and a thick yoke.' Would the person speaking that way be speakin
Dhammas	20	Dhammas	the meaning (or: the purpose) of those Dhammas [5] with their discernment. | having ascertained the meaning of those Dhammas with their discernment, they don't come | Their wrong grasp of those Dhammas will lead to their long-term harm & suf
His	20	His	ing to the cessation of fermentations.' His heart, thus knowing, thus seeing, is re | ing to the cessation of fermentations.' His heart, thus knowing, thus seeing, is re | "Lord, what is the name of this monk?" "His name is Ananda (Joy), great king." "Wha
Magandiya	20	Magandiya	Magandiya Sutta

" Magandiya , suppose that there was a leper covere | t & scorching." "Now what do you think, Magandiya? | ption of 'pleasant.'" "In the same way, Magandiya, sensual pleasures in the past were pai
Master Ratthapala	20	Master Ratthapala	am now going to pay my respects to that Master Ratthapala." Then, saying, "Give away all the stapl | What did he know or see or hear that Master Ratthapala went forth from the home life into home | from the home life into homelessness." "Master Ratthapala, you say, 'The world is swept away.
May	20	May	words." So he said to the Blessed One, "May the Blessed One, together with three ot | and to dhamma and to the Order of monks May the good Gotama accept me as a lay-foll | corrupt in the resolves of his heart: 'May these beings be killed or cut apart or
Deathless	19	Deathless	ng — came with one's first taste of the Deathless, at the first level of awakening, calle | elucidator of meaning, the giver of the Deathless, the lord of the Dhamma, the Tathagata. | elucidator of meaning, the giver of the Deathless, the lord of the Dhamma, the Tathagata.
Dependent	19	Dependent	s not my self, this is not what I am.' "Dependent on the eye & forms there arises conscio | "Dependent on the ear & sounds... | "Dependent on the nose & aromas...
Seeing	19	Seeing	s not my self, this is not what I am.' "Seeing thus, he is not agitated over what is n | This is not what I am.' "Seeing thus, the instructed disciple of the no | "Seeing this, an instructed disciple of the nob
Thai	19	Thai	Following the Thai edition of the Canon. | Here I follow the Thai edition, which reads "son of good famil | this name as Dhaanañjaani, whereas the Thai and Sri Lankan editions give it as Dhan
Very	19	Very	ike that for an eternity?" "No, lord." "Very good, monks. | , pain, grief, & despair?" "No, lord." "Very good, monks. | , pain, grief, & despair?" "No, lord." "Very good, monks.
Visakha	19	Visakha	wers questions put to her by a layman — Visakha — who, according to the commentary, was | these five clinging-aggregates, friend Visakha: form as a clinging-aggregate, feeling | the Blessed One." Saying, "Yes, lady," Visakha the lay follower delighted & rejoiced i
Are	18	Are	"...Are fabrications constant or inconstant?" " | Ananda said to him, "Are you sinking, householder? | aversion, qualities based on delusion: 'Are there in this venerable one any such qu
Brahmans	18	Brahmans	One: "Master Gotama, the brahmans say, 'Brahmans are the superior caste; any other caste | ing born through the birth canal, say, 'Brahmans are the superior caste; any other caste | a says that, still the brahmans think, 'Brahmans are the superior caste...
Master Ananda	18	Master Ananda	, and on seeing him said to him, "Come, Master Ananda. | Welcome, Master Ananda. | It has been a long time since Master Ananda has found the time to come here.
Noble Eightfold Path	18	Noble Eightfold Path	his refers to the (three) parts (of the Noble Eightfold Path), namely, virtue, concentration and wis | ha's Dispensation, in the waters of the Noble Eightfold Path. | It is this Noble Eightfold Path itself, namely: right understanding, ri
Seniya	18	Seniya	liyans and an ox-duty ascetic, and also Seniya a naked dog duty ascetic, went to the B | sed One and sat down at one side, while Seniya the naked dog-duty ascetic exchanged gr | erable sir, this naked dog-duty ascetic Seniya does what is hard to do: he eats his fo
Sunakkhatta	18	Sunakkhatta	Now on that occasion Sunakkhatta , son of the Licchavis , had recently l | Then he heard Sunakkhatta, son of the Licchavis, making this stat | one side and told the Blessed One what Sunakkhatta was saying.
Tathagata's	18	Tathagata's	an eternity.' He hears a Tathagata or a Tathagata's disciple teaching the Dhamma for the el | an eternity.' He hears a Tathagata or a Tathagata's disciple teaching the Dhamma for the el | "Sariputta, the Tathagata has these ten Tathagata's powers, possessing which he claims the
Wheel	18	Wheel	Thereupon he said: "The matchless Wheel of Dhamma set in motion by the Tathagat | This matchless Wheel of Dhamma, monks, set in motion by the | ta said: "Your reverence, the matchless Wheel of Dhamma set in motion by the Tathagat
Bamboo Grove	17	Bamboo Grove	ed One was staying near Rajagaha in the Bamboo Grove, the Squirrels' Sanctuary. | is discourse the Buddha returned to the Bamboo Grove outside of Rajagaha and met with 1,250 | ed One was staying near Rajagaha in the Bamboo Grove, the Squirrels' Sanctuary.
Bharadvaja	17	Bharadvaja	pananda, the twelve paccekabuddhas, [7] Bharadvaja bearing his last body. | then Uttara; Kesi, Sikhi, Sundara, and Bharadvaja. | ent, ardent and resolute, the venerable Bharadvaja by his own realization understood and a
Consciousness	17	Consciousness	If anyone were to say, 'Consciousness at the eye is the self,' that wouldn't | If anyone were to say, 'Consciousness at the intellect is the self,' that wou | ling in feelings." The Contemplation of Consciousness "And how, O bhikkhus, does a bhikkhu li
Cunda	17	Cunda	of his [meditative] reflections?" [3] "Cunda, as to those several views that arise i | "It may be, Cunda, that some monk, detached from sense-ob | "But herein, Cunda, effacement should be practiced by you:
Nibbana	17	Nibbana	Upanita who attained state of Calm (Nibbana), Uposatha, Sundara, and Saccanama. | Comy.: "He knows: 'There is Nibbana as an escape beyond that perception of | g the right path, for the attainment of Nibbana, namely, the Four Arousings of Mindfuln
Punna	17	Punna	y ascetic, went to the Blessed One, and Punna the ox duty ascetic paid homage to the | ill be his future course?" [1] "Enough, Punna, let that be. | A third time Punna the ox-duty ascetic asked the Blessed O
Samiddhi	17	Samiddhi	Now on that occasion the venerable Samiddhi was living in a forest hut. | ing for exercise, came to the venerable Samiddhi and exchanged greetings with him, and w | e had done so, he said to the venerable Samiddhi: 2.
Similarly	17	Similarly	(Similarly with the other three frames of referenc | [Similarly with the second, third, and fourth jhan | [Similarly with awareness-release through compassi
Teacher's	17	Teacher's	ndependent of others with regard to the Teacher's message — said to the Blessed One: "Mag | disciple who has rightly understood the Teacher's message! | disciple who has rightly understood the Teacher's message!
Vedehika	17	Vedehika	, there was a lady of a household named Vedehika . | is very Savatthi, there was a mistress, Vedehika by name. | eputation had spread about the mistress Vedehika: 'The mistress Vedehika is gentle, the
Venerable	17	Venerable	e addressed the monks thus: "Monks." — "Venerable sir," they replied. | n seeing him, said to the Blessed One, "Venerable sir, here comes Saccaka the Nigantha: a | ic sat down, he asked the Blessed One: "Venerable sir, this naked dog-duty ascetic Seniya
Fisherman's Son	16	Fisherman's Son	This sutta concerns a monk — Sāti, the Fisherman's Son — who refuses to heed the Buddha's care | higata) had arisen in the monk Sāti the Fisherman's Son: "As I understand the Dhamma taught by | ewpoint has arisen in the monk Sāti the Fisherman's Son: 'As I understand the Dhamma taught by
Friend	16	Friend	is was said, the Niganthas said to me, 'Friend, the Nigantha Nataputta [1] is all-know | Sariputta addressed the monks, saying, "Friend monks!" "Yes, friend," the monks respon | Sariputta, "Friend, 'One of poor discernment, one of poor
Noble One's	16	Noble One's	I am abiding in effacement.' But in the Noble One's discipline it is not these [attainments | s] that are called 'effacement'; in the Noble One's discipline they are called 'abidings in | I am abiding in effacement.' But in the Noble One's discipline it is not these [attainments
Noble Truth	16	Noble Truth	what four: It was a proclamation of the Noble Truth of suffering (dukkha), by way of teachi | (as before) and elucidating it; of the Noble Truth of the arising (cause) of suffering... | of the Noble Truth of the cessation of suffering...
Notes	16	Notes	tachment [9] and attained Parinibbana." Notes 1 . | [4] Notes 1 . | fuge, from this day forward, for life." Notes 1 .
Oh	16	Oh	you have to feel that pain all alone?" "Oh, no, Master Ratthapala, I can't say to | ass on in accordance with your kamma?" "Oh, no, Master Ratthapala, I can't say, 'E | 'Oh woe, our loved one is dead,' they cry.
Potaliputta	16	Potaliputta	Then the wanderer Potaliputta , walking and wandering for exercise, c | ammas) is felt at all." "Not so, friend Potaliputta, do not say thus, do not misrepresent t | fter doing an intentional kamma, friend Potaliputta, by way of body, speech or mind, one fe
Sakyan	16	Sakyan	ght: 'I recall once, when my father the Sakyan was working, and I was sitting in the c | the Sakyans, having gone forth from the Sakyan clan — on a wandering tour among the Ko | the Sakyans, having gone forth from the Sakyan clan — on a wandering tour among the Ko
Udayin	16	Udayin	[1] When this was said, the venerable Udayin said to the Blessed One: "'But, venerab | a: "See, Ananda, how this misguided man Udayin interferes. | I knew, Ananda, that this misguided man Udayin would unreasonably interfere now.
Venerable Sariputta's	16	Venerable Sariputta's	bhikkhus delighted and rejoiced in the Venerable Sariputta's words. | bhikkhus delighted and rejoiced in the Venerable Sariputta's words. | bhikkhus delighted and rejoiced in the Venerable Sariputta's words.
While	16	While	"While you are doing a bodily action, you shou | "While you are doing a verbal action, you shou | "While you are doing a mental action, you shou
You	16	You	"When this was said, he replied to me, 'You may stay here, my friend. | "When this was said, he replied to me, 'You may stay here, my friend. | The Blessed One said: You shouldn't chase after the past or place
Ānanda	16	Ananda	Ānanda, "Look, Ānanda, at how this worthless Udāyin interrupt | ysis of action — if you were to listen, Ānanda, to the Tathāgata analyzing the greater | s will bear it in mind." "In that case, Ānanda, listen and pay close attention.
Feeling	15	Feeling	If anyone were to say, 'Feeling is the self,' that wouldn't be tenable. | If anyone were to say, 'Feeling is the self,' that wouldn't be tenable. | body in the body." The Contemplation of Feeling "And how, O bhikkhus, does a bhikkhu li
Kamma	15	Kamma	See also: AN 4.235 ; " Kamma and the Ending of Kamma " in The Wings | o: AN 4.235 ; " Kamma and the Ending of Kamma " in The Wings to Awakening (Thanissaro | ons to the sections on Skillfulness and Kamma & the Ending of Kamma in that book.
Magnificent	15	Magnificent	hman Sundarika Bharadvaja spoke thus: " Magnificent , Master Gotama! | rince Abhaya said to the Blessed One: " Magnificent , lord! | r's message — said to the Blessed One: "Magnificent, Master Gotama!
Mindfulness	15	Mindfulness	the mind of obstructive mental states.' Mindfulness and clear consciousness "As soon, brahm | "Mindfulness of in-&-out breathing, when developed & | Nibbana, namely, the Four Arousings of Mindfulness." The Four Arousings of Mindfulness "Wha
Pañcakanga	15	Pancakanga	Then Uggahamana saw Pañcakanga the carpenter coming from afar, and on | Here comes Pañcakanga the carpenter, a disciple of Gotama the | this was said, the Blessed One said to Pañcakanga: "In that case, carpenter, then accordi
Prince Jayasena	15	Prince Jayasena	ans & contemplatives down by the head." Prince Jayasena then served Ven. | are?' "When this was said, I replied to Prince Jayasena, 'I haven't heard this face to face wit | had occurred to you in the presence of Prince Jayasena, he would have naturally felt confidenc
Pure Abodes	15	Pure Abodes	the level of the (Brahma heaven of the) Pure Abodes, it is first greed that arises by way o | etters are all due to be reborn [in the Pure Abodes], there to be totally unbound, never ag | These are the Pure Abodes: the brahma heavens into which non-retu
Sala	15	Sala	e arrived at the brahman village called Sala . | rge community of monks — has arrived at Sala. | y one.'" So the brahman householders of Sala went to the Blessed One.
Those	15	Those	"When he says thus: 'Those who know thus know rightly; those who k | "When he says thus: 'Those who know thus know rightly; those who k | "When he says: 'Those who know thus know rightly; those who k
Thullakotthita	15	Thullakotthita	a large community of monks, arrived at Thullakotthita , a town of the Kurus. | The brahmans & householders of Thullakotthita heard it said, "Gotama the contemplativ | h from the Sakyan clan — has arrived at Thullakotthita.
Vesali	15	Vesali	occasion the Blessed One was staying in Vesali , at the Gabled Hall in the Great Fores | bowl and outer robe, planning to enter Vesali for alms. | occasion the Blessed One was living at Vesali in the grove outside the city to the we
